ip_armies_size|Dimensione dell'esercito
; ip_armies_size_text|The size of your army, similar to the armies of the lords, depends on several factors:^^Leadership: each point will increase the maximum size of your army by 5. Companions with Leadership help lead the party.^^Charisma: each point of your charisma will increase the maximum size of your army by 1. It is your ability to attract men to your cause.^^Renown: every 9 points will increase the maximum size of your army by 1. Fame attracts followers.^^Holdings: every town will add 80 men and each fort 40 to the maximum size of your army. These spots represent men you can raise through a levy.^^Bear in mind that party size at sea is restricted by ship capacity. Extra troops can always be left at a settlement garrison, player Refuge (once built), or any Camp Quarters.
ip_morale|Morale
; ip_morale_text|Morale represents the ability and willingness of the troops in a party to summon up the endurance, bravery, and discipline they need to face the stresses of battle and the march. It is not the same thing as the troops' happiness. Elite troops may grumble and whine about the hardships of campaigning -- but then stand together as one when the arrows start to fly. On the other hand, a commander who gives his men everything they want may find that they grow soft, and waiver before the enemy's charge.^^Morale's greatest impact is on a party's behavior in battle, determining how aggressively troops engage the enemy, and how likely they are to break and run if they perceive the tide of battle turning against them. Morale also affects a party's march speed, as a less motivated party will move more slowly, as the men are not pushing themselves to their physical limit, and pause more frequently, as it waits for stragglers to catch up. Finally, a party with very low morale will start to suffer desertions.^^Some factors that affect morale are intuitive. For example, a charismatic commander with a reputation for winning battles can infuse his or her men with a sense of confidence. Leaders who give their men well ample and varied supplies of food, and pay them on time, demonstrate that they care about their troops' welfare and are less likely to lead them into disaster.^^Other factors are less intuitive -- particularly those related to a party's sense of group cohesion. In a small tight-knit party, for example, men will often fight hard against daunting odds to avoid showing cowardice before their comrades-in-arms. A large party on the other hand may see its cohesion strained, as the commander has less time to supervise the men, listen to their grievances, and resolve their disputes. Frequent battles will strengthen the bonds between men, while long periods without combat will see the troops become bored and quarrelsome.^^The morale report, accessible by hitting the 'Party Info' button on the 'Character' screen, will give the player a sense of the factors affecting his or her men's morale.
ip_economy|Economia
; ip_economy_text|Towns and villages in the Northlands need a wide variety of goods for their populations to remain healthy and productive. First in importance is food. Grain is the staple crop of the Northlands, but people also need fat and protein in the form of meat, fish, or cheese. It takes almost as much work to preserve meat as to produce it in the first place, so salt is also in high demand. After food comes clothing: heavy wool, lighter linens, or luxurious velvet. Finally, people need the tools of their trade: ironware, pottery, leatherware, and, of course, arms, armor, and horses for war.^^Most agricultural products are produced in the villages, while artisans in the towns specialize in manufactured or artisanal goods like fabrics or ironware. Also, different resources can be found in different parts of the country. Consequently, the key to prosperity in the Northlands is trade -- both between the villages and the towns, and between the major towns themselves.^^When trade flows, goods will be available and affordable, the population of a settlement will be healthy and energetic, and migrants will flock from the nearby regions. The settlement will produce more, consume more, and be able to contribute more in taxes to their lords. When trade dries up, towns and villages will see their workers flee to seek work elsewhere, and economic activity will drift to a stand-still. Thus, it is in the interests of rulers to protect trade routes from the hazards of war and banditry. A smart merchant, however, may want to seek out towns which have become isolated from the rest of the land, as he or she may be able to turn a tidy profit from the resulting price imbalances.^^Because villagers usually plan to take their goods to market in towns, village markets will be rather quiet places, and villagers will buy cheap and sell dear. Serious merchants will stick to the towns to make a profit, although some parties may decide to make a quick stop in a village to acquire supplies.^^A player who wants to know about the factors affecting a region's prosperity can speak to the mayor of the local town. Other information can be gleaned from passers-by, although they might not know very much outside of their own particular trade.
ip_courtship|Corteggiamento
; ip_courtship_text|You may wish to marry into one of the Northlands' noble families. Marriage is not necessary for someone to rise in power and stature, but it does provide them with an opportunity to improve their relation with lords and establish a claim to the throne.^^Marriage requirements will be different for males and females. A male character will usually need to pursue a traditional path of courtship. He should establish a reputation in aristocratic society, get on good terms with his bride's parents or guardians, and then woo the lady according to local custom. If a player grows impatient, he may attempt to take a shortcut -- but there will be consequences in his relations with other lords.^^A male character should keep in mind that other lords will be competing with him for the affections of the kingdom's ladies. Also, a lady's tastes are unpredictable, and a player may also find that the object of his love does not love him in return. Romance, in the Northlands as elsewhere, does not always prosper. Of course, a player may resort to other, less gentlemanly means of winning a lady's heart, but again, that will have a serious impact on his reputation.^^To get started on the path of courtship, a male player should try to get involved in the social life of the aristocracy of the Northlands, attending feasts and tournaments. Also, wandering troubadours and poets can serve as a useful repository of information on courtship, and keep the player up to date about the latest gossip.^^Female characters can also marry -- but they should keep in mind that these societies are very traditional, and, as adventurers, they have chosen a very unconventional path for a woman. A female character may have to look for a while to find a lord who is open-minded enough to marry her.^^On the bright side, a female character does not have to go through the elaborate rituals of courtship, and she also may gain more from a marriage than her male counterpart. For a woman adventurer, marriage can be a quick path to power -- and an unscrupulous character may be able to use her husband as a tool of her political ambitions.
ip_politics|Politica
; ip_politics_text|The realms of the Northlands, although they represent different cultures, all shared a basic political system that preceded feudalism. At the top of Germanic social hierarchy was the king, elected by a council of noblemen from the royal house. All the land of the realm belonged to the king, who distributed it among the aristocracy and the warriors who had performed outstanding deeds. This land however did not become their property and in case of death, either the king or the client, returned to the ruler. The nobility governed each shire in king's name with the responsibility for administration and justice, raising and leading the levies of men to the battlefield. For this purpose they divided their land into smaller parcels among the freemen who formed the backbone of the rural economy of the kingdom. These farmers and householders paid rent to their overlord and/or had several duties with him, such as building fortifications or working some days of the week during the harvest-time.^^This system of clientship was also practised between nobles, which established hierarchies of homage and political support. The increasingly powerful monasteries were autonomous ecclesiastical establishments with their own land and clients.^^A distinctive feature of the Celtic societies (Gaelic, Welsh and Pictish) was the importance of the corporate lineage-group, the clan. A large group of related people supposedly descended from one common ancestor, acting as an independent social and legal entity.^^When one realm in the Northlands makes war on another, the political unity of each kingdom is as important as the quality or number of its soldiers in determining the outcome. In a cohesive kingdom, nobles will join together in a large force to sweep their opponents before them. In a kingdom divided by petty quarrels, lords will fail to respond to the marshal's summons, or drift away to attend to their own business if a campaign is not going well. A faction's political cohesion will also impact warfare when campaigns are not in progress. In a divided faction, lords will be less likely to join together on raids and patrols or to come to each other's defense.^^If it seems nobles' bickering and quarrels are self-defeating when the enemy is just around the corner, keep in mind that ultimately, a noble's loyalty doesn't belong to a particular faction or culture, but to himself and to his family. If a noble fears that his faction is collapsing, or if he is being neglected by his liege, he can usually find a reason to withdraw his oath of allegiance and change sides. Players should keep this in mind, as they may find that there are opportunities to turn discontented former enemies into allies.
ip_character_backgrounds|Retroscena
; ip_character_backgrounds_text|A player character in the Northlands may choose to come from a variety of social backgrounds. This choice will affect not just his or her starting skills and equipment, but also the course of his or her career as an adventurer.^^War and politics in the Northlands are traditionally dominated by male aristocrats. A nobleman player character may find that he is invited into this 'old boys' club' fairly quickly, but women and commoners may face a few extra hurdles on the way. If you choose to start the game as a male nobleman, you can think of it as the 'easy' setting. Starting as a noblewoman or a male commoner is somewhat more difficult, and starting as a female commoner is probably the most challenging way to begin a game.^^However, women have some starting advantages. Simply by taking up arms, a female warrior will draw attention to herself, and she may find that she can build up her reputation faster than a male. Also, it is traditionally easier for a woman to marry up the social ladder than it is for a man, and a woman may find she can gain more from a strategic marital alliance than her male counterpart.^^Finally, keep in mind that the game does not place any limits on the upward mobility of characters based on their background. Noble or common, male or female, married or unmarried -- anyone can rise to become ruler of all the Northlands, if they are sufficiently brave, lucky, or resourceful.
