p_zendar|Zendar
; p_town_1|Cantwaraburh
; p_town_2|Cippanhamm
; p_town_3|Eidynburh
; p_town_4|Ribe
; p_town_5|Tunsberg
; p_town_6|Dun Breatann
; p_town_7|Dubh Linn
; p_town_8|Cirren Ceaster
; p_town_9|Caer Dyf
; p_town_10|Jorvik
; p_town_11|Dorestad
; p_town_12|Lundenwic
; p_town_13|Ynys Mon
; p_town_14|Dunwic
; p_town_15|Scuin
; p_town_16|Witan Ceaster
; p_town_17|Bosvenegh
; p_town_18|Ceall Cainnigh
; p_town_19|Cell Rigmonaid
; p_town_20|Rath Celtair
; p_town_21|Maistiu
; p_town_22|Caer Meguaidd
; p_town_23|Tomtun
; p_town_24|Caiseal
; p_town_25|Aileach
; p_town_26|Brycheiniog
; p_town_27|Bebbanburh
; p_town_28|Cruaghan
; p_town_29|Temair
; p_castle_1|Caer Ligualid
; p_castle_2|Mame Ceaster
; p_castle_3|Donne Ceaster
; p_castle_4|Middelsburh
; p_castle_5|Denisesburna
; p_castle_6|Ad Gefrin
; p_castle_7|Din Baer
; p_castle_8|Wicstun
; p_castle_9|Snotingaham
; p_castle_10|Lincylene
; p_castle_11|Ham Tune
; p_castle_12|Hreapandun
; p_castle_13|Oxenaforda
; p_castle_14|Colne Ceaster
; p_castle_15|Gegnesburh
; p_castle_16|Stanford
; p_castle_17|Norwic
; p_castle_18|Haegelisdun
; p_castle_19|Rendlaesburh
; p_castle_20|Grantebrycge
; p_castle_21|Hrofae Ceaster
; p_castle_22|Dornwara Ceaster
; p_castle_23|Searoburh
; p_castle_24|Dorce Ceaster
; p_castle_25|Wiltun
; p_castle_26|Ham Tun
; p_castle_27|Badon
; p_castle_28|Escan Ceaster
; p_castle_29|Towan Blystra
; p_castle_30|Din Tagell
; p_castle_31|Cathures
; p_castle_32|Cuil nam
; p_castle_33|Caer Caradawg
; p_castle_34|Gobhann
; p_castle_35|Dun Duim
; p_castle_36|Dun Foither
; p_castle_37|Dun Taruo
; p_castle_38|Dun Averte
; p_castle_39|Dun Onlaigh
; p_castle_40|Art Muirchol
; p_castle_41|Din Bych
; p_castle_42|Dinas Bran
; p_castle_43|Din Arth
; p_castle_44|Din Erth
; p_castle_45|Caer Seniont
; p_castle_46|Caer Sws
; p_castle_47|Meigen Cil Ceincoed
; p_castle_48|Caer Went
; p_castle_49|Skyfa
; p_castle_50|Vebjorg
; p_castle_51|Huhelstath
; p_castle_52|Heidabyr
; p_castle_53|Skiringssalr
; p_castle_54|Hordaland
; p_castle_55|Agdir
; p_castle_56|Rogaland
; p_castle_57|Caer Reghed
; p_castle_58|Dun Baitte
; p_castle_59|Ynys Manaw
; p_castle_60|Bjarnaroy
; p_castle_61|Orkneyjar
; p_castle_62|Veisafjordr
; p_castle_63|Kennemer
; p_castle_64|Vles Inge
; p_castle_65|Dun Sebuirge
; p_castle_66|Magh Rath
; p_castle_67|Magh Cobha
; p_castle_68|Druim Mor
; p_castle_69|Rath Clochair
; p_castle_70|Fir Fearnmhaigh
; p_castle_71|Ard Macha
; p_castle_72|Mag Dumai
; p_castle_73|Ath Mor
; p_castle_74|Ard Eachadha
; p_castle_75|Ard Breacain
; p_castle_76|Lagore Crannoc
; p_castle_77|Cathair Chomain
; p_castle_78|Luighne Connacht
; p_castle_79|Fiachrach Aidne
; p_castle_80|Ath Berchna
; p_castle_81|Grian Airbh
; p_castle_82|Les Mor
; p_castle_83|Ciarraighe Luachra
; p_castle_84|Muscraighe
; p_castle_85|Dun Na Mbarc
; p_castle_86|Cell Dara
; p_castle_87|Liamhain
; p_castle_88|Dun Bolg
; p_castle_89|Ros Mhic Treoin
; p_castle_90|Mairg Laigen
; p_village_1|Ligualid Ham
; p_village_2|Mame Ham
; p_village_3|Donne Ham
; p_village_4|Middels Ham
; p_village_5|Denises Ham
; p_village_6|Ad Gefrin Ham
; p_village_7|Baer Ham
; p_village_8|Wics Ham
; p_village_9|Snotingaham South
; p_village_10|Lincylene Ham
; p_village_11|Ham
; p_village_12|Hreapan Ham
; p_village_13|Oxena Ham
; p_village_14|Colne Ham
; p_village_15|Gegnes Ham
; p_village_16|Stan Ham
; p_village_17|Nor Ham
